,A549_KO1,A549_KO2,A549_KO3,A549_WT1,A549_WT2,A549_WT3
SLC10A7,2.9958730195994607,3.0282294203351845,3.0056545740180556,2.9689306893653344,2.614287772265277,2.739381042806094
SLC11A1,0.4174984157962257,0.4159326889134693,0.5356340612423941,0.927530116563921,0.9116469757891786,0.9473412504552551
SLC11A2,6.038641042711912,6.10395716232674,6.063725392991841,6.221524595554739,6.1725400126748315,6.218519085490744
SLC12A1,0.0,0.025152736015146678,0.025713701554296208,0.11889972564240299,0.029266050784017995,0.09053669387785568
SLC12A2,6.17008399385311,6.464693175361921,6.314124477043225,7.558184912225193,7.347239597985608,7.592694824363453
SLC12A3,1.5572891120320749,1.368973647074378,1.2428893203081912,1.6344567790876405,1.2215889274963867,1.400944445105026
SLC12A4,5.791460541416958,5.585298049214867,5.695448848370588,5.777204606339256,5.83098901872687,5.770386249055497
SLC12A5,1.079163666503676,0.937002081311052,0.9389567228114785,0.6792838416037417,1.0029896524468964,0.7941180830155687
SLC12A5-AS1,0.3390860424437639,0.31756321667778814,0.4809161106793308,0.20205551977991304,0.08607515027519837,0.22984616208854952
SLC12A6,5.096248825052774,5.22451749940275,5.276000099144861,5.1537564497054476,5.160933828110888,5.214045382638137
SLC12A7,5.8151895126987405,5.552694698452765,5.655344719775368,6.141272679870931,6.269619848555316,6.249552028441033
SLC12A8,2.10537819266354,2.058571080458677,1.9348398239676172,0.927530116563921,0.7972139046198196,0.8980531167281209
SLC12A9,5.054683082360653,4.799915456940087,4.95901971350461,4.764471887718259,4.846382450807791,4.879331629785642
SLC12A9-AS1,0.0,0.0,0.0,0.0,0.0,0.0
SLC13A1,0.025260834177482955,0.0,0.0,0.030656147367772727,0.11366227593071147,0.060984621216374005
SLC13A2,0.07449310068387566,0.09808218098210783,0.05097711203864351,0.06067440657597497,0.08607515027519837,0.03081452416109758
SLC13A3,2.0994439367631355,2.058571080458677,2.089143092226263,1.8645808299987996,1.86535488803031,1.9767552163623514
SLC13A4,2.5632799370329904,2.6213165224892574,2.7010717465606677,1.9790351667936226,1.8572177260112366,2.1269209767601005
SLC13A5,0.1906898515976334,0.16750169965022466,0.19391718801933186,0.09008078356375167,0.11366227593071147,0.17572568020479276
SLC14A1,0.07449310068387566,0.025152736015146678,0.025713701554296208,0.17486602214686636,0.19339307207012404,0.33235258244931704
SLC14A2,0.09849321593473065,0.18991857702364054,0.147826345774065,0.17486602214686636,0.16730268581980337,0.2561636229506376
SLC14A2-AS1,0.0,0.0,0.0,0.0,0.0,0.0
SLC15A1,0.12210059900644794,0.07417966381329916,0.025713701554296208,0.11889972564240299,0.05795020443172968,0.03081452416109758
SLC15A2,1.0300932634839226,1.1914877556796424,1.0806277663987576,1.0067647390149732,1.0029896524468964,0.8642332972682316
SLC15A3,0.2773468288166687,0.2551521308601868,0.2604048687705511,0.25494391192204036,0.21901999637352326,0.14788455158113867
SLC15A4,5.638721785362835,5.6228559708804005,5.687919389493575,5.434443461818804,5.451146821589534,5.456044521610986
SLC15A5,0.07449310068387566,0.09808218098210783,0.124216712644909,0.06067440657597497,0.05795020443172968,0.09053669387785568
SLC16A1,6.951018275207218,7.03735953153799,7.001385524305729,6.513364929925815,6.400321207716372,6.468647112067308
SLC16A1-AS1,1.7664927615286752,1.9112024021861622,1.9683756038258509,1.9472498619617418,1.6747919866432415,2.1269209767601005
SLC16A10,1.2814056186861222,1.3591163625918201,1.4084135607142436,0.877812700380177,1.0029896524468964,0.9146702960998646
SLC16A11,0.3982912367429722,0.525753610803655,0.5883523047740526,0.790942325978896,0.8141277739649808,0.8980531167281209
SLC16A12,0.5276625467491916,0.5605782647249158,0.4432494140746405,0.09008078356375167,0.21901999637352326,0.17572568020479276
SLC16A12-AS1,0.0,0.0,0.0,0.0,0.0,0.0
SLC16A13,4.321094003862952,4.177516748510959,4.35330919886308,4.958318796422732,5.145146511380708,5.084184349884071
SLC16A14,1.1149013037944238,1.1803350404605053,1.055882710023823,1.7678151937647697,1.6931942464902312,1.9924949699018497
SLC16A2,6.249601623294428,6.2989585281048255,6.199125609739661,5.503687238481383,5.615142841092311,5.548119400129639
SLC16A3,5.663066395908711,5.240713631762611,5.594897470857304,5.003450772937397,5.195230935606044,5.1373624840404775
SLC16A4,6.14437581998795,6.156834802858598,6.215627345233694,5.676601638790228,5.5294054905268,5.640299893359891
SLC16A5,5.464994875646924,5.346772550330307,5.555169398550335,6.141272679870931,6.153976487067948,6.1354496009135655
SLC16A6,0.0,0.0,0.0,0.0,0.0,0.0
SLC16A7,1.2060875700813298,1.2352559480386318,1.1640385597127516,1.9632300489173518,1.6561519611606168,1.9528188507200175
SLC16A8,0.9266423673628618,1.0393103933108438,1.1169673043913992,1.1532643926501427,0.6729160400612743,0.9146702960998646
SLC16A9,0.8995775242263904,0.937002081311052,0.8977762530569936,0.49370399042194446,0.5967642356060869,0.6625663712831592
SLC17A1,0.12210059900644794,0.12159512776707081,0.23858100476636343,0.7546746286104135,0.7095357713716243,0.4510222392463208
SLC17A2,0.0500869649004506,0.025152736015146678,0.0,0.030656147367772727,0.0,0.0
SLC17A3,0.8151963563580231,0.7833175895399695,0.9116340942792711,1.5628505654103144,1.6931942464902312,1.5990041053553012
SLC17A4,0.0,0.0,0.0,0.09008078356375167,0.029266050784017995,0.09053669387785568
SLC17A5,4.605930783662178,4.584166026174357,4.724987286976367,5.463524429007587,5.4016497979387905,5.479968955222811
SLC17A6,0.0,0.0,0.0,0.030656147367772727,0.029266050784017995,0.0
SLC17A7,0.8296070862503778,0.7231080339310422,0.7818435906907308,1.0964369545332198,1.2957178354977024,1.3891015801161268
SLC17A8,0.12210059900644794,0.14473099945794748,0.19391718801933186,0.09008078356375167,0.11366227593071147,0.060984621216374005
SLC17A9,0.0,0.0,0.0,0.09008078356375167,0.0,0.03081452416109758
SLC18A1,0.0,0.025152736015146678,0.025713701554296208,0.0,0.0,0.0
SLC18A2,4.228971323546654,4.585223442354455,4.305563713512292,4.857184935218334,4.382498182269733,4.772849454313359
SLC18A3,0.0,0.0,0.0,0.0,0.0,0.0
